FILEID,STUSAB,GEOCODE,COUNTY,TRACT,BLKGRP,BLOCK,AREALAND,NAME,INTPTLAT,INTPTLON,P0010001,P0020001,P0030001,P0050001,P0050003,P0050004,State,Proposed 2022_SD,County,Tract,BlockGroup,Block,Adj_Population,dif_pop,adjpop
PLST,DE,100010401001043,1,40100,1,1043,461337,Block 1043,39.2250869,-75.7394319,25,25,25,0,0,0,10,15,10001,10001040100,100010401001,100010401001043,25,0,25
PLST,DE,100010401002000,1,40100,2,2000,62336,Block 2000,39.2112313,-75.6062612,33,33,26,0,0,0,10,15,10001,10001040100,100010401002,100010401002000,33,0,33
PLST,DE,100010401002001,1,40100,2,2001,2095593,Block 2001,39.2071573,-75.6197345,190,190,128,0,0,0,10,15,10001,10001040100,100010401002,100010401002001,190,0,190
PLST,DE,100010401002002,1,40100,2,2002,601726,Block 2002,39.2095911,-75.6306629,63,63,51,0,0,0,10,15,10001,10001040100,100010401002,100010401002002,63,0,63
PLST,DE,100010401002003,1,40100,2,2003,1256584,Block 2003,39.2020753,-75.6414303,92,92,67,0,0,0,10,15,10001,10001040100,100010401002,100010401002003,92,0,92
PLST,DE,100010401002004,1,40100,2,2004,416862,Block 2004,39.1999968,-75.6307492,27,27,15,0,0,0,10,15,10001,10001040100,100010401002,100010401002004,27,0,27
PLST,DE,100010401002005,1,40100,2,2005,2817160,Block 2005,39.1923888,-75.6343499,146,146,115,0,0,0,10,15,10001,10001040100,100010401002,100010401002005,146,0,146
PLST,DE,100010401002006,1,40100,2,2006,110587,Block 2006,39.2000536,-75.6197261,23,23,23,0,0,0,10,15,10001,10001040100,100010401002,100010401002006,23,0,23
PLST,DE,100010401002007,1,40100,2,2007,852414,Block 2007,39.1946772,-75.6551015,51,51,31,0,0,0,10,15,10001,10001040100,100010401002,100010401002007,51,0,51
PLST,DE,100010401002008,1,40100,2,2008,714285,Block 2008,39.1993537,-75.6584728,62,62,55,0,0,0,10,15,10001,10001040100,100010401002,100010401002008,62,0,62
PLST,DE,100010401002009,1,40100,2,2009,2164967,Block 2009,39.2085433,-75.664884,148,148,116,0,0,0,10,15,10001,10001040100,100010401002,100010401002009,148,0,148
PLST,DE,100010401002010,1,40100,2,2010,92078,Block 2010,39.2208003,-75.6703831,21,21,14,0,0,0,10,15,10001,10001040100,100010401002,100010401002010,21,0,21
PLST,DE,100010401002011,1,40100,2,2011,237496,Block 2011,39.2203488,-75.6741358,22,22,16,0,0,0,10,15,10001,10001040100,100010401002,100010401002011,22,0,22
PLST,DE,100010401002012,1,40100,2,2012,639943,Block 2012,39.1894914,-75.6631998,26,26,18,0,0,0,10,15,10001,10001040100,100010401002,100010401002012,26,0,26
PLST,DE,100010401002013,1,40100,2,2013,2476388,Block 2013,39.1977617,-75.6760119,25,25,19,0,0,0,10,15,10001,10001040100,100010401002,100010401002013,25,0,25
PLST,DE,100010401002014,1,40100,2,2014,1427313,Block 2014,39.2110519,-75.6786474,105,105,78,0,0,0,10,15,10001,10001040100,100010401002,100010401002014,106,1,106
PLST,DE,100010401002015,1,40100,2,2015,94927,Block 2015,39.2095309,-75.6859489,0,0,0,0,0,0,10,15,10001,10001040100,100010401002,100010401002015,0,0,0
PLST,DE,100010401002016,1,40100,2,2016,2265797,Block 2016,39.2116916,-75.6916177,35,35,28,0,0,0,10,15,10001,10001040100,100010401002,100010401002016,35,0,35
PLST,DE,100010401002017,1,40100,2,2017,89850,Block 2017,39.2176401,-75.6897182,25,25,20,0,0,0,10,15,10001,10001040100,100010401002,100010401002017,26,1,26
PLST,DE,100010401002018,1,40100,2,2018,1537288,Block 2018,39.2097193,-75.7072753,46,46,37,0,0,0,10,15,10001,10001040100,100010401002,100010401002018,46,0,46
PLST,DE,100010401002019,1,40100,2,2019,516147,Block 2019,39.2044251,-75.7074536,42,42,30,0,0,0,10,15,10001,10001040100,100010401002,100010401002019,42,0,42
PLST,DE,100010401002020,1,40100,2,2020,44920,Block 2020,39.2106878,-75.7204307,4,4,4,0,0,0,10,15,10001,10001040100,100010401002,100010401002020,4,0,4
PLST,DE,100010401002021,1,40100,2,2021,975416,Block 2021,39.2059871,-75.7208366,60,60,56,0,0,0,10,15,10001,10001040100,100010401002,100010401002021,60,0,60
PLST,DE,100010401002022,1,40100,2,2022,598747,Block 2022,39.1981262,-75.7024315,18,18,16,0,0,0,10,15,10001,10001040100,100010401002,100010401002022,18,0,18
PLST,DE,100010401002023,1,40100,2,2023,114741,Block 2023,39.1999,-75.69684,0,0,0,0,0,0,10,15,10001,10001040100,100010401002,100010401002023,0,0,0
PLST,DE,100010401002024,1,40100,2,2024,167020,Block 2024,39.1982162,-75.6920179,0,0,0,0,0,0,10,15,10001,10001040100,100010401002,100010401002024,0,0,0
PLST,DE,100010401002025,1,40100,2,2025,762786,Block 2025,39.1956026,-75.6844407,8,8,5,0,0,0,10,15,10001,10001040100,100010401002,100010401002025,8,0,8
PLST,DE,100010401002026,1,40100,2,2026,1914631,Block 2026,39.1952604,-75.7295323,47,47,33,0,0,0,10,15,10001,10001040100,100010401002,100010401002026,47,0,47
PLST,DE,100010401002027,1,40100,2,2027,1206032,Block 2027,39.1997567,-75.7189313,40,40,25,0,0,0,10,15,10001,10001040100,100010401002,100010401002027,41,1,41
PLST,DE,100010401002028,1,40100,2,2028,464670,Block 2028,39.1955165,-75.7070336,53,53,44,0,0,0,10,15,10001,10001040100,100010401002,100010401002028,53,0,53
PLST,DE,100010401002029,1,40100,2,2029,515823,Block 2029,39.1942274,-75.7174041,26,26,19,0,0,0,10,15,10001,10001040100,100010401002,100010401002029,26,0,26
PLST,DE,100010401002030,1,40100,2,2030,367926,Block 2030,39.1908342,-75.6521747,43,43,37,0,0,0,10,15,10001,10001040100,100010401002,100010401002030,43,0,43
PLST,DE,100010401002031,1,40100,2,2031,2724,Block 2031,39.1889605,-75.6483478,0,0,0,0,0,0,10,15,10001,10001040100,100010401002,100010401002031,0,0,0
PLST,DE,100010401002032,1,40100,2,2032,1247151,Block 2032,39.1841214,-75.6556191,105,105,91,0,0,0,10,15,10001,10001040100,100010401002,100010401002032,105,0,105
